name,street,street2,city,state,zip,price,link,rdi,CMRA,smarty_status,detail_status,usps_status,usps_address,usps_zip5,usps_zip4,usps_dpv_confirmation,usps_cmra,usps_business,usps_carrier_route,usps_raw
Bend - 3rd St,1900 NE 3rd St,Suite 106,Bend,OR,97701,US$16.99/month,https://www.anytimemailbox.com/s/bend-1900-ne-3rd-street,Commercial,Y,matched,fetched,matched,"1900 NE 3RD ST STE 106, BEND, OR",97701,3889,Y,Y,,C014,"{""addressList"":[{""addressLine1"":""1900 NE 3RD ST STE 106"",""carrierRoute"":""C014"",""checkDigit"":""4"",""city"":""BEND"",""cmar"":""Y"",""countyName"":""DESCHUTES"",""defaultFlag"":"""",""defaultInd"":""E"",""deliveryPoint"":""31"",""dpvConfirmation"":""Y"",""elot"":""0033"",""elotIndicator"":""A"",""recordType"":""H"",""state"":""OR"",""zip4"":""3889"",""zip5"":""97701""}],""resultStatus"":""SUCCESS""}"
Bend - Century Dr,70 SW Century Dr STE 100,,Bend,OR,97702,US$16.99/month,https://www.anytimemailbox.com/s/bend-70-sw-century-dr,Commercial,Y,matched,fetched,matched,"70 SW CENTURY DR STE 100, BEND, OR",97702,3558,Y,Y,,C003,"{""addressList"":[{""addressLine1"":""70 SW CENTURY DR STE 100"",""carrierRoute"":""C003"",""checkDigit"":""7"",""city"":""BEND"",""cmar"":""Y"",""countyName"":""DESCHUTES"",""defaultFlag"":"""",""defaultInd"":""E"",""deliveryPoint"":""25"",""dpvConfirmation"":""Y"",""elot"":""0120"",""elotIndicator"":""A"",""recordType"":""H"",""state"":""OR"",""zip4"":""3558"",""zip5"":""97702""}],""resultStatus"":""SUCCESS""}"
Clackamas,12042 SE Sunnyside Rd,,Clackamas,OR,97015,US$9.99/month,https://www.anytimemailbox.com/s/clackamas-12042-se-sunnyside-road,Commercial,Y,matched,fetched,matched,"12042 SE SUNNYSIDE RD, CLACKAMAS, OR",97015,8382,Y,Y,,R016,"{""addressList"":[{""addressLine1"":""12042 SE SUNNYSIDE RD"",""carrierRoute"":""R016"",""checkDigit"":""1"",""city"":""CLACKAMAS"",""cmar"":""Y"",""countyName"":""CLACKAMAS"",""defaultFlag"":"""",""defaultInd"":""E"",""deliveryPoint"":""42"",""dpvConfirmation"":""Y"",""elot"":""0061"",""elotIndicator"":""A"",""recordType"":""S"",""state"":""OR"",""zip4"":""8382"",""zip5"":""97015""}],""resultStatus"":""SUCCESS""}"
Eugene - High St,1292 High St,,Eugene,OR,97401,US$9.99/month,https://www.anytimemailbox.com/s/eugene-1292-high-street,Commercial,Y,matched,fetched,matched,"1292 HIGH ST, EUGENE, OR",97401,3238,Y,Y,,C010,"{""addressList"":[{""addressLine1"":""1292 HIGH ST"",""carrierRoute"":""C010"",""checkDigit"":""2"",""city"":""EUGENE"",""cmar"":""Y"",""countyName"":""LANE"",""defaultFlag"":"""",""defaultInd"":""E"",""deliveryPoint"":""92"",""dpvConfirmation"":""Y"",""elot"":""0032"",""elotIndicator"":""A"",""recordType"":""S"",""state"":""OR"",""zip4"":""3238"",""zip5"":""97401""}],""resultStatus"":""SUCCESS""}"
Eugene - Willamette St,1711 Willamette Street,Ste 301,Eugene,OR,97401,US$19.99/month,https://www.anytimemailbox.com/s/eugene-1430-willamette-street,Commercial,Y,matched,fetched,matched,"1711 WILLAMETTE ST STE 301, EUGENE, OR",97401,4593,Y,Y,,C017,"{""addressList"":[{""addressLine1"":""1711 WILLAMETTE ST STE 301"",""carrierRoute"":""C017"",""checkDigit"":""5"",""city"":""EUGENE"",""cmar"":""Y"",""countyName"":""LANE"",""defaultFlag"":"""",""defaultInd"":""E"",""deliveryPoint"":""76"",""dpvConfirmation"":""Y"",""elot"":""0005"",""elotIndicator"":""D"",""recordType"":""H"",""state"":""OR"",""zip4"":""4593"",""zip5"":""97401""}],""resultStatus"":""SUCCESS""}"
Eugene - Royal Ave,4736 Royal Ave,,Eugene,OR,97402,US$9.99/month,https://www.anytimemailbox.com/s/eugene-4736-royal-avenue,Commercial,Y,matched,fetched,matched,"4736 ROYAL AVE, EUGENE, OR",97402,1755,Y,Y,,C002,"{""addressList"":[{""addressLine1"":""4736 ROYAL AVE"",""carrierRoute"":""C002"",""checkDigit"":""1"",""city"":""EUGENE"",""cmar"":""Y"",""countyName"":""LANE"",""defaultFlag"":"""",""defaultInd"":""E"",""deliveryPoint"":""36"",""dpvConfirmation"":""Y"",""elot"":""0025"",""elotIndicator"":""A"",""recordType"":""S"",""state"":""OR"",""zip4"":""1755"",""zip5"":""97402""}],""resultStatus"":""SUCCESS""}"
Gearhart,3095 HW 101 N,Ste 11,Gearhart,OR,97138,US$9.99/month,https://www.anytimemailbox.com/s/gearhart-3095-hw-101-n,Commercial,N,matched,fetched,no_match,,,,,,,,"{""addressList"":[],""resultStatus"":""ADDRESS NOT FOUND""}"
Gladstone,45 82nd Dr,Ste 51,Gladstone,OR,97027,US$12.99/month,https://www.anytimemailbox.com/s/gladstone-45-82nd-drive,Commercial,Y,matched,fetched,matched,"45 82ND DR STE 51, GLADSTONE, OR",97027,2562,Y,Y,,C001,"{""addressList"":[{""addressLine1"":""45 82ND DR STE 51"",""carrierRoute"":""C001"",""checkDigit"":""4"",""city"":""GLADSTONE"",""cmar"":""Y"",""countyName"":""CLACKAMAS"",""defaultFlag"":"""",""defaultInd"":""E"",""deliveryPoint"":""51"",""dpvConfirmation"":""Y"",""elot"":""0071"",""elotIndicator"":""A"",""recordType"":""H"",""state"":""OR"",""zip4"":""2562"",""zip5"":""97027""}],""resultStatus"":""SUCCESS""}"
Grants Pass - 6th St,1051 NE 6th St,"Ste C,",Grants Pass,OR,97526,US$9.75/month,https://www.anytimemailbox.com/s/grants-pass-1051-ne-6th-street,Commercial,N,matched,fetched,matched,"1051 NE 6TH ST STE C, GRANTS PASS, OR",97526,1190,Y,N,,C037,"{""addressList"":[{""addressLine1"":""1051 NE 6TH ST STE C"",""carrierRoute"":""C037"",""checkDigit"":""8"",""city"":""GRANTS PASS"",""cmar"":""N"",""countyName"":""JOSEPHINE"",""defaultFlag"":"""",""defaultInd"":""E"",""deliveryPoint"":""75"",""dpvConfirmation"":""Y"",""elot"":""0049"",""elotIndicator"":""A"",""recordType"":""H"",""state"":""OR"",""zip4"":""1190"",""zip5"":""97526""}],""resultStatus"":""SUCCESS""}"
Grants Pass - F St,560 NE F St,Ste A,Grants Pass,OR,97526,US$11.99/month,https://www.anytimemailbox.com/s/grants-pass-560-ne-f-street,Commercial,Y,matched,fetched,matched,"560 NE F ST STE A, GRANTS PASS, OR",97526,2300,Y,Y,,C010,"{""addressList"":[{""addressLine1"":""560 NE F ST STE A"",""carrierRoute"":""C010"",""checkDigit"":""6"",""city"":""GRANTS PASS"",""cmar"":""Y"",""countyName"":""JOSEPHINE"",""defaultFlag"":"""",""defaultInd"":""E"",""deliveryPoint"":""73"",""dpvConfirmation"":""Y"",""elot"":""0017"",""elotIndicator"":""A"",""recordType"":""H"",""state"":""OR"",""zip4"":""2300"",""zip5"":""97526""}],""resultStatus"":""SUCCESS""}"
